BOOK,PAGE,DROID SYSTEM,Desc.,GROUP,COST,WEIGHT,AVAIL.,COMMENTS & BENEFITS
SGD,55,Antitheft comlink locator,"Some droids are equipped with internal comlinks to broadcast messages. However, these devices require the droid to speak out loud, and in some situations such an act is inadvisable. A droid equipped with an antitheft comlink locator can send a distress signal to its master's com link with no apparent activity by the droid. The distress signal broadcasts no information, but it can it be tracked. The signal continues to broadcast if the droid is deactivated, but it shuts down if the droid is destroyed.

",Accessory,100,0.5,-,signal sent to master's comlink that can be tracked until droid is destroyed
CR,193,Armor,,Accessory,,,,See Armor
SGD,64,Astrogation buffer,,Accessory,,,,Input hyperspace jump coordinates
SGD,55,Audio enhancers,"Audio enhancers increase the sensitivity of a droid's aural sensors, enabling it to pick up sounds not normally perceived by standard sensors. When eavesdropping or listening for distant and ambient sounds, a droid equipped with audio enhancers can reroll Perception checks, taking the better of the two results. All other modifiers for the Perception check still apply.

",Accessory,2000,1,-,reroll Perception & keep better
SGD,55,Audio-Radial Stunner,"This defense system protects droids in dangerous situations. As a standard action, the audio-radial stunner broadcasts a short-ranged, high-pitched frequency on all channels, calling attention to the droid and stunning any nearby creatures. Until the end of the droid's next turn, any creature that starts its turn adjacent to the droid must make a DC 20 Endurance check. Failure causes the creature to move -1 step on the condition track. The stunner shuts down if the droid is deactivated or destroyed.
",Accessory,5000,3,Restricted,as stan action adjacent must make DC 20 Endurance or move -1 CT
SGD,55,Automap,"An automap system actively scans the area within a 12-square radius of a droid in which it is installed. The scan reveals terrain, atmospheric conditions, electromagnetic signatures, and lifeforms. However, an automap scan cannot penetrate solid objects such as walls and closed doors. The scan also includes navigational information, such as the droid's direction and speed when readings were taken as well as global coordinates if the droid can establish a link to an orbiting satellite or starship.

",Accessory,1000,2,-,12 sq radius but cannot penetrate solid objects
CR,191,Backup Processor,"Backup Processor: A droid with a remote receiver can also have a backup processor that allows the droid to function even if it loses contact with its remote processor. The droid will continue executing its last received orders until contact is reestablished.

",Processors,100,-,-,Allows a remote drone to function like a droid when losing contact with processor
CR,190,Basic Processor,"Basic Processor: Basic processors are not designed for creative thought and problem solving, and as such most droids interpret instructions and behavioral inhibitions very literally. Furthermore, basic processors are very limited in that the droid cannot perform any task for which it was not programmed. For example, a droid that is not trained in the Deception skill cannot lie or otherwise convey false or unknown information. A droid with a basic processor cannot use any skill untrained except for Acrobatics, Climb, Jump, and Perception. Similarly, a basic processor does not allow a droid to use any weapon with which it is not proficient, and a droid's behavioral inhibitors may prevent it from harming sentient living beings altogether (see Behavioral Inhibitors, below). 

Every droid comes with a basic processor, at the very least.

",Processors,-,-,-,No creative thought or problem solving
SGD,63,Battle station,"Droid battle stations provide the functionality of regular droid command stations, and they can be used to direct droids in combat. Droid battle stations are typically large installations, capable of coordinating hundreds or thousands of droids of al l types. Some droid battle stations emulate droid commanders. When the station is installed, select two talents from the droid commander prestige class (see page 28 of this book and pages 42-44 of The Clone Wars Campaign Guide). These talents can be used by the character operating the battle station as if the character has the talents. The number of times each talent can be used is calculated per station, not per character, so switching characters in the middle of a battle does not grant additional uses. Droids with the droid commander prestige class cannot use these talents more often even if they duplicate talents the droid already possesses. 

",Stations,50000 per 100,5000,Military,"select 2 talents from droid commander prestige class, calculated per station not creature, does not duplicate "
CR,191,Behavioral Inhibitors,"Even without a restraining bolt or periodic memory wipes, most droids operate according to a rigid set of guidelines. A droid's core programming-the part of its memory that can't be wiped-provides it with strict instructions on how to react to common circumstances, most of which revolve around obedience, safety, ethics, and morality. These instructions are the droid's behavioral inhibitors.

The most common restriction coded into a droid's memory is the notion that it can't harm a sentient living being or, through inaction, allow a sentient living being to come to harm. (Fourth-degree droids do not have this restriction.) Droids are under similar strictures not to allow themselves to be harmed unless specifically ordered to do so. Of course, droids are also hardwired to obey the commands of their designated masters. When a master's orders conflict with the droid's behavioral inhibitors, the droid is required to inform its master immediately.

",Processors,varies,varies,-,Behavioral Inhibitors include restraining bolt and droid caller
SGD,55,Blaster Recharge Interface,"This hand accessory enables a droid to recharge a standard blaster pack for its master. As a swift action, the droid can plug in and transfer energy to the power pack. Recharging a power pack depletes energy from the droid. For each recharge, the droid loses hit points equal to one of the blaster's damage-dice type. Thus, a droid recharging a power pack for a heavy blaster pistol (3d8) takes 8 points of damage (since the die type is d8).

",Accessory,300,1,Licensed,"as swif action recharge power packs, droid loses hp = dam dice of weapon"
SGD,52,Burrower drive,"Mining and other fifth-degree droids can use a burrower drive to tear through large chunks of ore embedded in the crust of a planet or in an asteroid. A burrower drive enables a droid to move at half speed underground. It can also move vertically up or down at a similar rate.

A burrower drive can be used as a weapon. The droid makes a melee attack. If the attack is successful, the droid deals damage equal to the amount it would do if it had used a self- destruct device. However, each successful attack moves the droid -1 step on the condition track with a persistent condition, as the drill gears and bits strip down and damage the droid.

",Locomotion,200xCFxSp²,50xCF,Restricted,"move half spd, if used as weapon dam = to self-destruct device & each atk moves droid -1 CT"
CR,198,Circular saw,,Appendage,,,,part of four standard appendages of an R2 astromech droid
CR,190,Claw,"Claw: Claws are an intermediate step between tools and hands. They are useful for grabbing onto objects to be moved, but aren't very good for tasks that require fine manipulation. While a droid could easily carry a blaster in its claw, it would have difficulty firing it, for example. A droid using a claw to perform a task that normally requires a true hand must make a DC 15 Dexterity check to succeed at the task. If the check fails, the droid drops the object it is attempting to manipulate.

",Appendage,20xCF,(5xCF),-,"Tasks that requires a hand requires a DC15 DEX roll, if fail it drops the object."
CR,189,Climbing Claws,"Claws designed to grip a surface can be added to any droid with a walking locomotion system. Climbing claws grant the droid a climb speed equal to one-half its walking speed. In addition, a droid equipped with climbing claws may reroll a failed Climb check (keeping the better result) and can take 10 on Climb checks even when rushed or threatened. Climbing claws double the cost of a walking locomotion system.

",Appendage,x2,-,-,"Climb = /2  speed, reroll & keep better, can always take 10"
