BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
T,64,A Few Maneuvers,"When piloting a vehicle of Colossal size or smaller, you grant a +2 dodge bonus to your vehicle's Reflex Defense. Furthermore, if you are the target of a missile or torpedo attack and the attack roll misses by 5 or more, the projectile self-destructs harmlessly.","DEX 13, Dodge, Vehicular Combat, Trained in Pilot","Ref Def +2 in Colossal or smaller vehicle, if projectile misses by 5",,,,,,"[combat][defensive], [vehicle][starship]"
K,32,Accelerated Strike,"Once per encounter, when using only weapons with which you are proficient, you can take a full attack action as a standard action. [[NOTE: This feat does not allow the use of full-round attacks (such as Whirlwind Attack) as standard actions. Full attack actions are usually feats that provide extra attacks, such as Dual Weapon Mastery, Double Attack, and Triple Attack.]]",BAB +6,"Once per encounter, full attack as stan",x,,,,x,"[melee(armed, unarmed)][question ulswp], [combat][offensive], "
UR,24,Acrobatic Ally,"You can hoist or toss an ally of your size or smaller up to 2 squares. You and your ally must act on the same initiative number and start in adjacent squares. If you succeed on a DC 20 Acrobatics check as a standard action, your ally ends up in a square of your choosing up to 2 squares above or away from you. This counts as a free action for your ally and ends your turn. Your ally can then continue his or her turn. If you fail your check, both you and your ally immediately become prone in your square. Your turn is ended, but your ally can take his or her turn normally. Special: This feat can provoke attacks of opportunity against either character.","Dex 13, Str 13, trained in Acrobatics","hoist or toss ally 2sq on DC20 Acrobatics as stan, free for ally, your turn ends",,,x,,,"[dexterity][strength], [skill(acrobatics)], [support], [combat]"
UR,24,Acrobatic Dodge,"Once per encounter, as a reaction, if a melee attack misses you, you can immediately move into an adjacent square without provoking an attack of opportunity. Special: You must be aware of the attacker to benefit from this feat. You can use this feat a second time during the encounter by spending a Force Point.","DEX 13, Dodge, Mobility, Skill Focus (Acrobatics), trained in Acrobatics",1/enc as reac if melee atk misses you can move into adjacent w/out AoO,,,x,,,"[dexterity], [skill(acrobatics)], [mobility], [combat][defensive]"
CR,82,Acrobatic Strike,"If you succeed in tumbling to avoid an attack of opportunity (see the Acrobatics skill, page 62), you gain a +2 competence bonus on the next attack that you make against that foe as long as the attack occurs before the end of your current turn.",Trained in Acrobatics,Gain +2 on next attack against opponent you tumble past,x,,,,,"[melee(armed, unarmed)][ok], [combat][offensive], [skill(acrobatics)], tumble"
GI,25,Adaptable Talent,"Choose one talent that you meet the prerequisites for, from a class you possess. Once per day, after at least 6 hours of rest, you can choose to swap out one of your current talents for the talent you chose for this feat. The talent you swap out cannot be the prerequisite for any other talent you have. You can swap back to your original talent after at least 6 hours of rest.",,"Choose talent from your classes, and swap that talent 1/day w/6 hrs rest",,,,,,[talent]
F,31,Advantageous Attack,"When you make a successful attack against an enemy who has not yet acted in combat, you add your full heroic level to damage rolls. Normal: Typically you add only one-half your heroic level to damage rolls.",BAB +1,"if opponent has not yet acted, add full heroic level to damage",,,x,x,,"[ranged(fired, thrown)][target], [melee(armed, unarmed)], [combat][offensive]"
F,31,Advantageous Cover,"When you have cover, you take no damage from area attacks, even if the attack roll exceeds your Reflex Defense. Normal: You take no damage from area attacks when you have cover only if the attack roll misses.",Trained in Stealth,"when you have cover, take no damage from area attacks",,,x,x,x,"[combat][defensive], [skill(stealth)]"
SGD,22,Aiming Accuracy,"If you aim at a target as a full-round action (instead of two swift actions), you gain a +5 bonus to your next attack made in the following round against that target. The target must remain in your line of sight.","Droid, Point Blank Shot, Precise Shot, proficient with weapon.",if aim as full-round gain +5 atk against target if remains in LOS,,,,,," [species(droid)], ranged(fired, thrown)][target], [combat][offensive]"
R,31,Ample Foraging,"Whenever you make a Survival check for the Basic Survival application of the skill, each creature that consumes the food you find gains a +2 morale bonus to his or her Fortitude Defense until the start of the next day.",Ewok,"Basic Survival of Survival, each gets +2 Fort Def until start next day",,,,,,"[species(ewok)], [skill(survival)], [fortitude defense], [defensive]"
F,32,Angled Throw,"When throwing a grenade or grenade-like weapon, you can attempt to bounce it off a wall or other surface close to your target. If your attack roll exceeds a Reflex Defense of 15, you ignore cover and improved cover (but not total cover) with your attack.",Dex 13,"if Atk exceeds Ref Def 15, ignore cover and improved cover",,,,,x,"[ranged(grenade)], [combat][offensive], [dexterity]"
C,28,Anointed Hunter,"If you end your move at least 2 squares from where you started, you gain a +1 competence bonus on attacks made with thrown weapons until the end of your turn.",Nelvaanian species,if end move 2 sq from start +1 Atk with thrown weapons,,,,,,"[thrown], species(Nelvaanian), [combat][offensive]"
GW,28,Aquatic Specialists (team feat),"You gain a +3 competence bonus to Swim checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when you swim, you swim at half speed as a move action (or you swim at your speed as a full-round action).",Trained in Swim,"+3 Swim & +1 each ally w/feat w/in 12 sq (max +7), swim half spd as move",,,,,,"[skill(swim)], [team], [support]"
CR,82,Armor Proficiency (heavy),"When you wear heavy armor, you take no armor check penalty on attack rolls or skill checks. Additionally, you benefit from all of the armor's special equipment bonuses (if any). Normal: A character who wears heavy armor with which she is not proficient takes a -10 armor check penalty on attack rolls as well as skill checks made using the following skills: Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, and Swim. Additionally, the character gains none of the armor's special equipment bonuses.","Armor Proficiency (light), Armor Proficiency (medium)",no penalty or armor check from armor,,,,x,x,"[armor], [combat][defensive]"
CR,82,Armor Proficiency (light),"When you wear light armor, you take no armor check penalty on attack rolls or skill checks. Additionally, you benefit from all of the armor's special equipment bonuses (if any). Normal: A character who wears heavy armor with which she is not proficient takes a -2 armor check penalty on attack rolls as well as skill checks made using the following skills: Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, and Swim. Additionally, the character gains none of the armor's special equipment bonuses.",,no penalty or armor check from light armor,,x,,x,,"[armor], [combat][defensive]"
CR,82,Armor Proficiency (medium),"When you wear medium armor, you take no armor check penalty on attack rolls or skill checks. Additionally, you benefit from all of the armor's special equipment bonuses (if any). Normal: A character who wears medium armor with which she is not proficient takes a -5 armor check penalty on attack rolls as well as skill checks made using the following skills: Acrobatics, Climb, Endurance, Initiative, Jump, Stealth, and Swim. Additionally, the character gains none of the armor's special equipment bonuses.",Armor Proficiency (light),no penalty or armor check from light or medium armor,,,,x,,"[armor], [combat][defensive]"
C,28,Artillery Shot,"When you make an attack with a burst or splash weapon against a target at greater than point blank range, you can affect two additional adjacent squares to the normal burst or splash area.",Proficient with weapon used*,affect +2 sq with burst or splash at further than PB range,,,,,x,"[ranged(grenade, fired, thrown)][burst][o][splash][o], [combat][offensive], [vehicle][starship]"
GW,28,Ascension Specialists (team feat),"You gain a +3 competence bonus to Climb checks. At the time you make a check, for each ally within 12 squares of you who also has this feat, the competence bonus increases by 1 (to a maximum of +7). Additionally, when you climb, you climb at half speed as a move action (or at your normal speed as a full-round action).",Trained in Climb,"+3 Climb & +1 each ally w/feat w/in 12 sq (max +7), climb half spd as move",,,,,,"[skill(climb)], [team], [support]"
W,,Assault,"If you are wielding two weapons or a weapon with which you can use the Double Attack feat, you may spend a Force Point to make two attacks as a standard action. The normal penalties due to attacking with two weapons or using Double Attack still apply, and you cannot make more than two attacks regardless of how many extra attacks you can make during a full attack action. Normal: You can only make multiple attacks with the full attack action (a full-round action).","Double Attack or Dual Weapon Mastery I, BAB +6",spend FP to make 2 Atk as stan action not full,,,,,,"[ranged(grenade, fired, thrown)][question gtmulti], [melee(armed, unarmed)][question ulswp], [combat][offensive]"
R,28,Assured Attack,"Whenever you deal damage to a target with an attack and you roll multiple damage dice, you can reroll the lowest damage die but must keep its second result, even if it is worse.",,"reroll lowest damage die if roll multiple dice, must take reroll",x,,,,x,"[ranged(fired, thrown)][target], [melee(armed, unarmed)], [combat][offensive]"
L,34,Attack Combo (Fire & Strike),"If you hit a single target with two consecutive ranged, melee, and/or unarmed attacks during the same turn, any additional ranged, melee, or unarmed attacks you make until the end of your next turn (including attacks of opportunity and attacks made as reactions) deal +1 die of damage on a hit. This extra damage stacks with extra damage granted by other feats or talents.","Attack Combo (Melee), Attack Combo (Ranged), BAB +9","if hit single target with 2 consecutive atks in same turn, additional atks +1 die dam",,,,,x,"[ranged(fired, thrown)][target], [melee(armed, unarmed)], [combat][offensive], , "
L,34,Attack Combo (Melee),"If you hit a single target with two consecutive melee and/or unarmed attacks during the same turn, any additional melee or unarmed attacks you make until the end of your next turn (including attacks of opportunity and attacks made as reactions) deal +1 die of damage on a hit. This extra damage stacks with extra damage granted by other feats or talents.",BAB +3,"if hit single target with 2 consecutive melee or unarmed atks in same turn, additional atks +1 die dam",x,,,,x,"[melee(armed, unarmed)][ok], [combat][offensive], , [unarmed attack]"
L,34,Attack Combo (Ranged),"If you hit a single target with two consecutive ranged attacks during the same turn, any additional ranged attacks you make until the end of your next turn (including attacks of opportunity and attacks made as reactions) deal +1 die of damage on a hit. This extra damage stacks with extra damage granted by other feats or talents.",BAB +3,"if hit single target with 2 consecutive ranged atks in same turn, additional atks +1 die dam",,,x,x,x,"[ranged(fired, thrown)][target], [combat][offensive], "
L,34,Autofire Assault,"When you target the same area with an autofire attack that you made an autofire attack against on your last turn, the penalty on the autofire attack is reduced to -2 (-1 if using a braced autofire-only weapon or the Controlled Burst talent) and you deal +1 die of damage on a hit. Normal: A -5 penalty applies to autofire attack rolls, and there are no bonuses for consecutive rounds of fire in the same squares. Special: This feat cannot be used with the Autofire Sweep feat or the Burst Fire feat.",Weapon Focus,"autofire penalty -2 if autofired to same target last round, +1 die dam",,,,,x,"[ranged(fired)], [autofire], [combat][offensive]"
L,34,Autofire Sweep,"When making an autofire attack, you can attack all targets in a 6-square cone. The origin square of the cone can be any square in your line of sight and within point-blank range. Normal: A -5 penalty applies to autofire attack rolls. Autofire attacks that miss deal half damage. Special: This feat cannot be used with the Autofire Assault feat or the Burst Fire feat. It can be used with the Improved Suppression Fire talent (see LE page 31). [[Fluff states ""You can sweep an area with your autofire weapon, spraying fire in a 180-degree arc in front of you.""]]",Weapon Focus,autofire as 6sq cone ,,,,,x,"[ranged(fired)], [autofire], [combat][offensive]"
F,32,Bad Feeling,"You can always take a move action during a surprise round, even if you are surprised. If you are not surprised, you can take this move action in addition to any other actions you are normally allowed to take in the surprise round.",,extra move action in surprise round even if not surprised,,,x,x,,"[mobility], [combat]"
