BOOK,PAGE,FORCE POWER,Desc.,"Action to activate","Action to maintain",Target,Sq.,LOS,EFFECT,   Dark/Light,   Lightsaber form   ,  Mind-affect.,  Telekinetic,  Unleashed
J,29,"Assured Strike 
[lightsaber form]","You trade power for accuracy. Time: Standard action. Target: One enemy within your reach.

Make a Use the Force check. The result of the check determines the result, if any.

DC 15: you make a single melee attack with a lightsaber against the target, rolling twice and keeping the higher result. However, you take a -5 penalty on your damage roll. 

DC 20: As DC 15, except you take a -2 penalty on your damage roll. 

DC 25: As DC 15, except you take a -1 penalty on your damage roll. 

DC 30: As DC 15, except you take no penalty on your damage roll. 

Lightsaber Form (Juyo): If you have the Juyo talent and miss with both attack rolls, this power remains in your Force suite instead of being spent as normal. 

Special: You can spend a Force Point to roll your attack roll three times, keeping the highest result. 
",stan,,1,,,"DC15: make a single atk rolling twice & keeping the better, -5 dam
DC20: make a single atk rolling twice & keeping the better, -2 dam
DC25: make a single atk rolling twice & keeping the better, -1 dam
DC30: make a single atk rolling twice & keeping the better
Lightsaber form (Juyo): if you miss with both this power remains in your suite
spend a Force Point for three rolls, keeping the highest",,x,,,
L,53,"Ballistakinesis 
[telekinetic]","You use the Force to spray an area with dangerous debris. Time: Standard action. Targets: All targets in a 2×2 area (the entire area must be within 12 squares of you and in your line of sight).

Make a Use the Force check. Compare the result to the Reflex Defense of each target in the affected area. If the check result equals or exceeds the target's Reflex Defense, the target takes 3d8 points of bludgeoning, piercing, or slashing damage (your choice) and takes a -2 penalty on all attack rolls until the start of your next turn. This is an area attack.

Special: You may spend a Force Point when you activate this power, in which case targets whose Reflex Defense you fail to exceed with your skill check take half damage.

[[Personal note: Since this powers targets Reflex Defense you can use evasion talent for purposes of not taking damage.]]

",stan,,2x2,12,Y,"v. Ref Def for 3d8 dam & -2 attack, area attack
spend Force Point for half dam on a miss",,,,x,
J,29,"Barrier of Blades 
[lightsaber form]","You whip your lightsaber around you, creating a barrier through which blaster fire rarely penetrates. Time: Swift action. Target: You. 

Make a Use the Force check. Until the start of your next turn, you can use the result of your Use the Force check in place of your Reflex Defense against incoming non-area ranged attacks. 

Lightsaber Form (Shien): If you have the Shien talent, you can redirect (as per the Redirect Shot talent) one blaster bolt that misses you while this power is in effect.

Special: You can spend a Force Point to have the benefits of this power also apply to attacks from ranged weapons set on autofire. If such an attack hits you while this power is in effect, you take half damage; if it misses you, you take no damage. 
",swif,,you,,,"Use the Force replaces your Ref Def against non-area ranged attacks
Lightsaber form (Shien): can redirect one shot that misses you
spend a Force Point for autofire attacks, half or no dam",,x,,,
CR,96,Battle Strike,"You use the Force to enhance your battle prowess. Time: Swift action. Target: You.

Make a Use the Force check. The result of the check determines the effect, if any:

DC 15: Gain a +1 Force bonus on your next attack roll made before the end of your next turn and deal an additional 1d6 points of damage if the attack hits.

DC 20: As DC 15, except you deal an additional 2d6 points of damage.

DC 25: As DC 15, except you deal an additional 3d6 points of damage.

Special: You can spend a Force Point to deal an additional 2d6 points of damage on your next attack.

Unleashed: When you use the battlestrike power and you spend a Destiny Point, your next melee attack, if successful, also moves the target an additional -2 steps along the condition track, regardless of whether the damage exceeds the target's damage threshold.

[[Personal note: You may be able to stack Battle Strike damage, activate it 5 times before you attack.]]
",swif,,you,,,"DC15: +1 next Atk made before end of next turn, gain +1d6 dam
DC20: +1 next Atk made before end of next turn, gain +2d6 dam
DC25: +1 next Atk made before end of next turn, gain +3d6 dam
spend a Force Point for an additional +2d6 damage
Unleashed: your next melee Atk moves target additional -2 CT whether over thresh or not",,,,,x
J,24,"Blind 
[telekinetic]","You hurl dirt, dust and debris at your foe, affecting its perception. Time: Swift action. Target: One creature within 12 squares of you and in your line of sight. 

Make a Use the Force check. Make one roll and compare the result to the target's Reflex Defense. If the result equals or exceeds the target's Reflex Defense, the target is considered flat-footed, and all other creatures have concealment from your target until the start of your next turn. Creatures that do not rely on eyesight to perceive (such as Miraluka) are immune to this effect. 

Special: You can spend a Force Point to use this power as a free action, instead of a swift action.

",swif,,1,12,Y,"Use the Force v. Ref Def, if over target flat-footed & all others have concealment until start of your next turn, spend Force Point to use as a free action",,,,x,
J,29,"Circle of Shelter 
[lightsaber form]","You create a protected area around yourself, through which enemies have difficulty reaching you or your allies. Time: Standard action. Targets: You plus all allies adjacent to you. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 20: Until the end of your next turn, you and all adjacent allies gain a +1 deflection bonus to Reflex Defense. 

DC 25: As DC 20, except the bonus increases to +2. 

DC 30: As DC 20, except the bonus increases to +5. 

Lightsaber Form (Soresu): If you have the Soresu talent, you can add the deflection bonus on Use the Force checks made to use the Block and Deflect talents until the end of your next turn. 

Special: You can spend a Force Point to also apply the deflection bonus from this power to the Fortitude Defense of all adjacent allies. 
",stan,,you,,,"DC20: you & all adjacent allies +1 Ref Def
DC25: you & all adjacent allies +2 Ref Def
DC30: you & all adjacent allies +5 Ref Def
Lightsaber form (Soresu): add bonus to Deflect and Block
spend a Force Point for Fort Def of adjacent allies",,x,,,
C,50,Cloak,"You can bend light around your body, rendering yourself invisible to anyone looking in your direction. Time: Standard action. Target: You. Make a Use the Force check. The result of the check determines the effect, if any :

DC 15 : You are considered to have total concealment against all targets until the beginning of your next turn.

DC 20 : As DC 15, and you gain a +2 Force bonus to Stealth checks until the beginning of your next turn.

DC 25 : As DC 15, and you gain a +3 Force bonus to Stealth checks until the beginning of your next turn.

DC 30 : As DC 15, and you gain a +5 Force bonus to Stealth checks until the beginning of your next turn.

Special : You can maintain the Cloak power from round to round, extending the normal duration. Maintaining the Cloak power is a Standard action, and you must make a new Use the Force check each round. If you take damage while maintaining this power, you must succeed on a Use the Force check (DC 15+ damage taken) to maintain the power. You can spend a Force point to increase the bonus to your Stealth checks by +5.

",stan,stan*,you,,,"DC15: have total concealment against all targets
DC20:have total concealment against all targets, +2 Stealth
DC25:have total concealment against all targets, +3 Stealth
DC30:have total concealment against all targets, +5 Stealth
spend a Force Point to increase Stealth +5",,,,,
L,53,Combustion,"You use the Force to agitate particles in the air to create a pyrokinetic spray of sparks. Time: Standard action. Targets: All targets in a 2×2 area (the entire area must be within 12 squares of you and in your line of sight).

Make a Use the Force check. Compare the result to the Fortitude Defense of each target in the affected area. If the check result equals or exceeds the target's Fortitude Defense, the target takes 4d6 points of fire damage and catches fire. If the attack misses, the target takes half damage and does not catch fire. This is an area attack. The result of your Use the Force check determines the attack bonus of the fire each round it burns. This replaces the fire's normal attack bonus (see page 255 of the Saga Edition core rulebook).

Special: You can spend a Force Point to move one target hit by the power -1 step along the condition track.

",stan,,2x2,12,Y,"v. Fort Def for 4d6 fire dam & catches on fire, half dam on miss, area atk, Use the Force = atk bonus of fire     
spend Force Point to move -1 CT",,,,,
J,29,"Contentious Opportunity 
[lightsaber form]","You seize the moment when your opponent gives you an opening, darting in to strike. Time: Free action (when you make an attack of opportunity). Target: One enemy within your reach. 

Make a Use the Force check. The result of the check determines the result, if any. 

DC 20: If you hit with your attack of opportunity, you deal an additional +1 die of damage. 

DC 25: As DC 20, except you deal an additional +2 dice of damage. 

DC 30: As DC 20, except you deal an additional +3 dice of damage. 

DC 35: As DC 20, except you deal an additional +4 dice of damage. 

Lightsaber Form (Makashi): If you have the Makashi talent, you gain a +2 Force bonus on attacks of opportunity (including this one) until the end of your next turn. 

Special: If you hit with the attack of opportunity, you can immediately spend a Force Point to reduce the target's speed by 2 squares until the end of its next turn. 
",free,,1,,,"DC20: if attack of opportunity hits +1 die dam
DC25: if attack of opportunity hits +2 die dam
DC30: if attack of opportunity hits +3 die dam
DC35: if attack of opportunity hits +4 die dam
Lightsaber form (Makashi): +2 atk on attacks of opportunity
spend a Force Point for -2 sq move until the end of its next turn",,x,,,
J,24,Convection,"You alter your body chemistry, causing your skin to burn with incredible heat. Time: Swift action. Target: You. 

Make a Use the Force check: The result of the check determines the effect, if any. 

DC 15: Until the start of your next turn, all of your unarmed melee attacks deal +1d6 points of fire damage. Any target that takes fire damage also catches on fire (see page 255 of the Saga Edition core rulebook). 

DC 20: As DC 15, except your melee attacks deal +2d6 points of fire damage. 

DC 25: As DC 15, except your melee attacks deal +3d6 points of fire damage. 

DC 30: As DC 15, except your melee attacks deal +4d6 points of fire damage. 

Special: You can spend a Force Point to deal bonus fire damage to any creature that strikes you with an unarmed attack or makes a grab or grapple attack against you, for as long as the power is in effect. You can maintain convection from round to round, extending its normal duration. Maintaining the convection power is a swift action, and you must make a new Use the Force check each round. If you take damage while maintaining convection, you must succeed on a Use the Force check (DC = 15 + damage taken) to continue maintaining the power.

",swif,swif*,you,,,"DC15: your unarmed melee attacks deal +1d6 fire dam, if damaged catches fire
DC20: your unarmed melee attacks deal +2d6 fire dam, if damaged catches fire
DC25: your unarmed melee attacks deal +3d6 fire dam, if damaged catches fire
DC30: your unarmed melee attacks deal +4d6 fire dam, if damaged catches fire
spend a Force Point for fire damage to any creature that strikes you unarmed ",,,,,
