BOOK,PAGE,CLASS,HP,"Force Points",Ref,Fort,Will,Min lvl,"TRAINED SKILL PREREQUISITE","SKILL FOCUS PREREQ.","FEAT PREREQUISITE","TALENT PREREQUISITE","OTHER PREREQUISITE","Group Heading"
CR,206,Ace Pilot,d8,6,+4,+2,0,7th,Pilot,,Vehicular Combat,,,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Blockade Runner,, PrC ,,1,0,x,,Vehicle Dodge: Dodge bonus on vehicle = 1/2 level,,,,
,,Expert Pilot,, PrC ,,2,1,,Vehicle Dodge +1,,,,,
,,Gunner,, PrC ,,3,2,x,,,,,,
,,Squadron Leader,, PrC ,,4,3,,Vehicle Dodge +2,,,,,
,,Wingman,, PrC ,,5,3,x,,,,,,
,,Spacer,, Scoundrel ,,6,4,,Vehicle Dodge +3,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Vehicle Dodge +4,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Vehicle Dodge +5,,,,,
,,,,,,,,,,,,,,
SV,28,Assassin,d10,6,+4,+2,0,7th,Stealth,,Sniper,Dastardly Strike (Scoundrel-Misfortune),,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Assassin,,PrC,,1,1,x,,"Mark: single target in LOS, start of encounter, dam bonus, as swif target flat-foot instead",,,,
,,Genohardan,,PrC,,2,2,,Mark +1,,,,,
,,Misfortune,,Scoundrel,,3,3,x,,,,,,
,,Malkite Poisoner,,Scoundrel,,4,4,,Mark +2,,,,,
,,,,,,5,5,x,,,,,,
,,,,,,6,6,,Mark +3,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Mark +4,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Mark +5,,,,,
,,,,,,,,,,,,2 from Awareness (Scout),,
CR,207,Bounty Hunter,d10,6,+4,+2,0,7th,Survival,,,2 from Awareness (Scout),,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Bounty Hunter,,PrC,,1,1,x,,"Familiar foe: observe opponent, Atk bonus & Ref Def bonus ",,,,
,,Force Hunter,,PrC,,2,2,,Familiar foe +1,,,,,
,,Gand Findsman,,PrC,,3,3,x,,,,,,
,,Misfortune,,Scoundrel,,4,4,,Familiar foe +2,,,,,
,,Awareness,,Scout,,5,5,x,,,,,,
,,,,,,6,6,,Familiar foe +3,,,,,
,,,,,,7,7,x,,,,,,
,,,,,,8,8,,Familiar foe +4,,,,,
,,,,,,9,9,x,,,,,,
,,,,,,10,10,,Familiar foe +5,,,,,
,,,,,,,,,,,,,,
SV,30,Charlatan,d8,6,+2,0,+4,7th,"Deception, Persuasion",,,"1 Disgrace, Influence or Lineage (Noble)",,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Trickery,,PrC,,1,0,x,,"Score: full-round observing target, reroll Deception & keep better until end of encounter",,,,
,,Disgrace,,Noble,,2,1,,Score,Swindle: substitute Deception for Stealth to pick-pocket but you convinced them to give,,,,
,,Fortune,,Scoundrel,,3,2,x,,,"up the item, target realizes what they did at end of the encounter",,,
,,Provocateur,,Noble,,4,3,,Swindle,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Swindle +1,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Swindle +2,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Swindle +5,,,,,
,,,,,,,,,,,,,,
K,41,Corporate Agent,d8,6,+2,0,+4,7th,"Gather Info,
Knowledge (bureaucracy)","Knowledge 
(bureaucracy)",,,"work for 
interstellar corporation",Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Corporate Power,,PrC,,1,0,x,,"Executive Leadership: grant ally in LOS one of +2 Spd, +2 Atk, or +2 all Def",,,,
,,Leadership,,Noble,,2,1,,Executive Leadership/1,,(as many times = half corporate agent level),,,
,,Lineage,,Noble,,3,2,x,,,,,,
,,,,,,4,3,,Executive Leadership/2,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,,Executive Leadership/3,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,,Executive Leadership/4,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,,Executive Leadership/5,,,,,
,,,,,,,,,,,,,,
CR,209,Crime Lord,d8,6,+2,0,+4,7th,"Deception, Persuasion",,,"one from Fortune, Misfortune (scoundrel), or Lineage (Noble)",,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Infamy,,PrC,,1,0,x,,Ref Def +1 per ally adjacent to you = 1/2 level,,,,
,,Mastermind,,PrC,,2,1,x,Command cover,,,,,
,,Influence,,Noble,,3,2,x,,,,,,
,,,,,,4,3,x,Command cover,,,,,
,,,,,,5,3,x,,,,,,
,,,,,,6,4,x,Command cover,,,,,
,,,,,,7,5,x,,,,,,
,,,,,,8,6,x,Command cover,,,,,
,,,,,,9,6,x,,,,,,
,,,,,,10,7,x,Command cover,,,,,
,,,,,,,,,,,,,,
C,42,Droid Commander,d10,6,+2,+2,+2,7th,"Knowledge (tactics), Use Comp",,,"1 Leadership (Noble)
or Commando (Soldier)",Droids only,Y
,,,,,,,,,,,,,,
,,Can use the following talent trees,,,,Level,BAB,Talent,Class Feature,Special Abilities,,,,
,,Droid Commander,,PrC,,1,1,x,,Networked mind: droid allies can benefit from your mind-affecting effects ,,,,
,,Override,,PrC,,2,2,,Networked mind (1 droid ally),,have LOS as long as have active comlink,,,
,,Inspiration,,Noble,,3,3,x,,,,,,
,,Leadership,,Noble,,4,4,,Networked mind (2 droid allies),,,,,
,,Droid,,Droid,,5,5,x,,,,,,
