BOOK,PAGE,FORCE REGIMEN,Desc.,ACT,Target,  Lightsaber?,EFFECT
J,10,Awaken Force Sensitivity,"This training regimen is used to awaken another character to the larger world of Force sensitivity. You and the beneficiary of this regimen practice meditation, quieting your minds and listening to the Force. Time: 1 hour. Target: One willing ally who does not possess the Force Sensitivity feat.

Make a Use the Force check. The result of the check determines the benefits of the regimen:

DC 13: You gain the benefit of the Gauge Force Potential talent (if you do not already have it).

DC 18: As DC 13, and you awaken the first glimmers of Force sensitivity in the target. For the next 24 hours, the target can make untrained Use the Force checks as though he or she possesses the Force Sensitivity feat.

DC 23: As DC 18, except the target also gains a +1 Force bonus on Use the Force checks.

DC 28: As DC 18, except the student also gains a +2 Force bonus on Use the Force checks.
",1 hr,1,,"DC13: gain the benefit of Gauge Force potential
DC18: gain the benefit of Gauge Force potential, for next 24 hrs target can make untrained UtF checks
DC23: gain the benefit of Gauge Force potential, for next 24 hrs target can make untrained UtF checks +1
DC28: gain the benefit of Gauge Force potential, for next 24 hrs target can make untrained UtF checks +2"
J,10,Eyes of the Force,"This regimen trains you to sense images that you cannot normally see by reading the surface thoughts of others. During this regimen, an assistant holds a two-dimensional image viewer so that you see the images being displayed on the screen. As the image viewer cycles through different images of common objects, you must read the surface thoughts of the assistant to determine what image is being displayed on the screen at that time. Time: 1 hour. Target: You. Requirements: A two-dimensional image display and an assistant

Make a Use the Force check. The result of the check determines the benefits of the regimen:

DC 13: You successfully read one-third of the assistant's surface thoughts. You gain a +1 Force bonus on Use the Force checks made to use the Telepathy application of the Use the Force skill.

DC 18: You successfully read two-thirds of the assistant's surface thoughts. You gain a +2 Force bonus on Use the Force checks made to use the Telepathy application of the Use the Force skill.

DC 23: You successfully read all of the assistant's surface thoughts. You gain a +2 Force bonus on Use the Force checks made to use the Telepathy application of the Use the Force skill. In addition, if you successfully use Telepathy against an unwilling target, you can also sense the target's surface emotions and stray thoughts (as determined by the Gamemaster).
",1 hr,you,,"DC13: +1 Use the Force with Telepathy
DC18: +2 Use the Force with Telepathy
DC23: +2 Use the Force with Telepathy & against unwilling can sense surface emotions & stray thoughts"
J,11,Oxygen Bottle,"This difficult regimen trains you to master environmental manipulation through the Force. You must first empty a glass bottle of air, creating a perfect vacuum inside. Then you must allow only oxygen to slip past the seal created by the Force, eventually filling the bottle with pure oxygen before placing the vac-seal stopper. This regimen requires you to use the Force in a nearly molecular level, as well as the Sense aspect of the Force to determine what molecules are making their way into the bottle. Time: 1 hour. Target: You. Requirements: A glass bottle with a vac-seal stopper

Make a Use the Force check. The result of the check determines the benefits of the regimen:

DC 26: You fail to create a vacuum in the bottle before the regimen begins, resulting in an imperfect mixture. You gain a +2 Force bonus to your Fortitude Defense against inhaled poisons and non-corrosive atmospheric hazards.

DC 32: You create a vacuum in the bottle, but let other molecules enter through your Force seal, creating an imperfect mixture. You gain a +5 Force bonus to your Fortitude Defense against inhaled poisons and non-corrosive atmospheric hazards.

DC 38: You complete this regimen perfectly, resulting in a bottle full of nothing but pure oxygen. You become immune to inhaled poisons and non-corrosive atmospheric hazards.
",1 hr,you,,"DC13: +2 Fort Def v. inhaled poisons & non-corrosive atmosphere
DC18: +5 Fort Def v. inhaled poisons & non-corrosive atmosphere
DC23: immune v. inhaled poisons & non-corrosive atmosphere"
J,11,Quiet the Mind,"This regimen trains you to block out distractions and stray thoughts. It requires little more than finding a quiet, secluded spot and slipping into a meditative trance to clear your mind of doubt, questions, fear, and the chaos of the galaxy. Jedi use this technique to open themselves to the flow of the Force, allowing them to see distant places and events. Time: 1 hour. Target: You.

Make a Use the Force check. The result of the check determines the benefits of the regimen:

DC 13: You meditate, but your mind is still clouded by external stimuli. You can add one use of the farseeing power to your Force suite, but once it is used, it cannot be regained by any means.

DC 18: You meditate, quieting your mind except for but a few small distractions. You can add one use of the farseeing power to your Force suite.

DC 23: You meditate, quieting your mind entirely. You can add one use of the farseeing power to your Force suite, and you gain the benefits of the Visions talent (if you do not already know it).
",1 hr,you,,"DC13: +1 farseeing but not regained if used
DC18: +1 farseeing 
DC23: +1 farseeing & gain benefit of Visions"
J,11,Sparring Practice,"This simple regimen allows you to practice against another living opponent, simulating one-on-one combat. During sparring practice, each combatant attempts to strike the other while exercising restraint and control. If you use a training lightsaber (see page 56), you can spar without fear of harming your opponent. Time: 2 hours. Target: You. Requirements: Lightsaber (or training lightsaber) and a sparring partner.

Make a Use the Force check. The result of the check determines the benefits of the regimen:

DC 18: You hone your lightsaber skills but see little in the way of improvement. You can spend a Force Point to add to the result of a Use the Force check made to activate the Block talent. This does not count toward the “one Force Point per round” limit.

DC 23: You hone your lightsaber skills, improving your technique by small degrees. You can spend a Force Point to add to the result of a Use the Force check made to activate the Block talent. This does not count toward the “one Force Point per round” limit. You also gain 1 temporary Force Point, which can only be used to add to the result of a Use the Force check made to activate the Block talent.

DC 28: You hone your lightsaber skills and see significant improvement in your technique. You can spend a Force Point to add to the result of a Use the Force check made to activate the Block talent. This does not count toward the “one Force Point per round” limit. You also gain 2 temporary Force Points, which can only be used to add to the results of Use the Force checks made to activate the Block talent.
",2 hr,you,Y,"DC18: spend a Force Point to add to Block, does not count as one Force Point use
DC23: spend a Force Point to add to Block, does not count as one Force Point use, gain FP for Block
DC28: spend a Force Point to add to Block, does not count as one Force Point use, gain 2 FP for Block"
J,11,Telekinetic Practice,"This regimen hones your skill with the Alter aspect of the Force and enhances telekinetic precision. You begin by placing a deep bowl on the ground, with an orb at the bottom of the bowl. First, you must use the Force to hold the bowl perfectly still and pin it to the ground. Then you roll the ball slowly up the side of the bowl, keeping it in contact with the bowl at all times, until it reaches the upper rim. The orb is then held in place for 5 minutes, and must remain perfectly still. You then roll the orb slowly back to the bottom of the bowl, moving it with the Force and not allowing the orb to move under gravity's power. Time: 1 hour. Target: You. Requirements: A deep bowl and a polished stone orb.

Make a Use the Force check. The result of the check determines the benefits of the regimen:

DC 18: You let the bowl move during the regimen. You gain 1 temporary Force Point which you can apply only to a Use the Force check to activate a power with the [telekinetic] descriptor.

DC 23: You let the orb roll under gravity's power back to its starting position. You gain 2 temporary Force Points which you can apply only to Use the Force checks to activate powers with the [telekinetic] descriptor.

DC 28: You complete the regimen perfectly. You gain 2 temporary Force Points which you can apply to Use the Force checks to activate powers with the [telekinetic] descriptor or use to reroll a Use the Force check made to activate a power with the [telekinetic] descriptor (you must keep the second result, even if it is worse).
",1 hr,you,,"DC18: +1 Force Point when you use telekinetic Force Powers
DC23: +2 Force Points when you use telekinetic Force Powers
DC28: +2 Force Points when you use telekinetic Force Powers & reroll Use the Force made to activate (mtr)"
J,12,Training Remote,"You hone your skill at deflecting blaster bolts using your lightsaber. This Force regimen is performed blind, often with the help of a helmet equipped with an opaque blast shield. Time: 1 hour. Target: You. Requirements: Lightsaber, training remote, and a helmet with a blast shield.

Make a Use the Force check. The result of the check determines the benefits of the regimen:

DC 18: You hone your lightsaber skills, but the training remote gets several hits on you. You can spend a Force Point to add to the result of a Use the Force check made to activate the Deflect talent. This does not count toward the “one Force Point per round” limit.

DC 23: You hone your lightsaber skills, and the remote gets in a few small hits on you. You can spend a Force Point to add to the result of a Use the Force check made to activate the Deflect talent. This does not count toward the “one Force Point per round” limit. You also gain 1 temporary Force Point, which can only be used to add to the result of a Use the Force check made to activate the Deflect talent.

DC 28: You hone your lightsaber skills, and the remote never harms you. You can spend a Force Point to add to the result of a Use the Force check made to activate the Deflect talent. This does not count toward the “one Force Point per round” limit. You also gain 2 temporary Force Points, which can only be used to add to the results of Use the Force checks made to activate the Deflect talent.
",1 hr,you,Y,"DC18: spend a Force Point to add result to Deflect, does not count as one Force Point use
DC23: spend a Force Point to add result to Deflect, does not count as one FP use, gain FP for Deflect
DC28: spend a Force Point to add result to Deflect, does not count as one FP use, gain 2 FP for Deflect"
J,12,Vo'Ren's 1st Cadence,"Vo’ren's first cadence teaches precision through control of one's body and sensory awareness. You set up 19 wax cylinders at 10-degree intervals around your body, each one approximately 1.5 meters away, forming a semicircle. Atop each cylinder, one metal ball bearing is placed. You must then use your lightsaber to strike each ball bearing without making contact with the wax cylinder beneath it. You must place the cylinders and ball bearings one at a time until all 19 have been placed. Time: 1 hour. Target: You. Requirements: Lightsaber, 19 wax cylinders, and 190 ball bearings.

Make a Use the Force check. You take a penalty on your Use the Force check equal to your Dark Side Score. The result of the check determines the benefits of the regimen:

DC 13: You damage two cylinders. You gain a +1 Force bonus to your Will Defense.

DC 18: You damage one cylinder. You gain a +2 Force bonus to your Will Defense.

DC 23: You complete the cadence without damaging any cylinders. You gain a +2 Force bonus to your Will Defense, and you gain the benefits of the Severing Strike talent (if you do not already know it).
",1 hr,you,Y,"DC13: +1 Will Def
DC18: +2 Will Def
DC23: +2 Will Def & benefits of Severing Strike"
J,12,Vo'Ren's 2nd Cadence,"Vo'ren's second cadence teaches not only control but also spatial awareness. You must set up 72 wax cylinders at 5-degree intervals around your body, each one approximately 1.5 meters away. Atop each cylinder, one metal ball bearing is placed. Like in the first cadence, you must place the cylinders and ball bearings one at a time until all 72 have been placed. However, unlike the first cadence, you must strike at all of the cylinders in a full 360-degree arc without turning your body to face the cylinders to the rear, honing your ability to strike at enemies coming from all sides. Time: 2 hours. Target: You. Requirement: Lightsaber, 72 wax cylinders, and 2,701 ball bearings

Make a Use the Force check. You take a penalty on your Use the Force check equal to your Dark Side Score. The result of the check determines the benefits of the regimen:

DC 18: You damage two cylinders. You gain a +1 Force bonus on lightsaber attack rolls against creatures that flank you.

DC 23: You damage one cylinder. You gain a +2 Force bonus on lightsaber attack rolls against creatures that flank you.

DC 28: You complete the regimen without damaging the cylinders. You gain a +2 Force bonus on lightsaber attack rolls against creatures that flank you, and you gain the benefits of the Whirlwind Attack feat (if you do not already know it).
",2 hr,you,Y,"DC18: +1 atk against creatures that flank you
DC23: +2 atk against creatures that flank you
DC28: +2 atk against creatures that flank you & benefits of Whirlwind Attack"
J,13,Vo'Ren's 3rd Cadence,"Vo'ren's third cadence teaches precision through control of one's body and sensory awareness. You set up 180 wax cylinders at 2-degree intervals around your body, each one approximately 1.5 meters away. Atop each cylinder, one metal ball bearing is placed. Unlike the second cadence, in the third cadence you must strike every fifth ball bearing, making a rotation around your body several times over the course of the regimen. This prepares you for irregular attack patterns from all sides. Time: 3 hours. Target: You. Requirements: Lightsaber, 180 wax cylinders, and 16,290 ball bearings

Make a Use the Force check. You take a penalty on your Use the Force check equal to your Dark Side Score. The result of the check determines the benefits of the regimen:

DC 23: You damage two cylinders. You gain a +1 Force bonus on ranged attack rolls made when using the Redirect Shot talent.

DC 28: You damage one cylinder. You gain a +2 Force bonus on ranged attack rolls made when using the Redirect Shot talent.

DC 33: You complete the regimen without damaging the cylinders. You gain a +2 Force bonus on ranged attack rolls made when using the Redirect Shot talent, and you can spend Force Points to enhance Use the Force checks to Block and Deflect (as per the talents), even when it is not your turn. Furthermore, Force Points spent to enhance Use the Force checks to Block and Deflect do not count toward the “one Force Point per round” limit normally applied to spending Force Points.
",3 hr,you,Y,"DC23: +1 on ranged attacks when Redirecting Shot
DC28: +2 on ranged attacks when Redirecting Shot
DC33: +2 on ranged attacks when Redirecting Shot & spend FP to Block & Deflect, does not count as 1 FP"
