Skill,AP,Ability,Use,Trained,DC,Notes,Take 10/20,Retry,Time
Acrobatics,Yes,Dex,Balance,,,"table, pg62",No,,Move
Acrobatics,Yes,Dex,Cross Difficult Terrian,Y,15,norml spd,No,,Move
Acrobatics,Yes,Dex,Escape Bonds,,,"table, pg62",No,,Standard/Full/1 min
Acrobatics,Yes,Dex,Fall prone,Y,15,free,No,,Free
Acrobatics,Yes,Dex,Reduce Fall Damage,Y,15,pg62,No,,
Acrobatics,Yes,Dex,Stand Up From Prone,Y,15,swift,No,,Swift
Acrobatics,Yes,Dex,Tumble,Y,15,"no AoO, dbl move",No,,Move
Acrobatics,Yes,Dex,Fight Defensive,Y,,5+ Reflex,No,,Attack
Acrobatics,Yes,Dex,Long Falls,,20,KOTOR30,No,,
Acrobatics,Yes,Dex,High/Low Gravity,Y,20,"TFU29, pg256",No,,
Acrobatics,Yes,Dex,Zero Gravity,Y,,"TFU29, pg257",No,,Swift
Acrobatics,Yes,Dex,Catch Item,Y,20,S&V19,No,,Free
Acrobatics,Yes,Dex,Escape Artist,Y,10+,"S&V19, pg63",No,,Move/Attack/5 rnd
Acrobatics,Yes,Dex,Nimble Charge,Y,25,S&V19,No,,Charge
Climb,Yes,Str,Climb Surfaces,,,"table, pg64",10,,Move/Full
Climb,Yes,Str,Accelerated Climbing,,-5,"table, pg64",10,,Move/Full
Climb,Yes,Str,Catch Yourself If Falling,,20+,"table, pg64",10,,
Climb,Yes,Str,Make Hand/Foot Holds,,15,,10,,
Climb,Yes,Str,Climb In High/Low Gravity,,,KOTOR30,10,,Move/Full
Climb,Yes,Str,Extreme Conditions,,5+,TFU29,10,,Move/Full
Deception,,Cha,Deceptive Appearance,,Perc,"pg64, table pg65",10,*,pg64
Deception,,Cha,Deceptive Infomation,,Will,"pg64, table pg65",10,*,pg64
Deception,,Cha,Creating a Diversion to hide,,Will,attempt Stealth,10,*,
Deception,,Cha,Feint,,Init,includes Ships,No,,Standard
Deception,,Cha,Creating a Diversion to hide Items,,Will,attempt Stealth,,,
Deception,,Cha,Haywire (Droids),,Will,TFU29,,,Full Round
Deception,,Cha,Alternate Story,Y,Will,S&V19,,,Immediatly
Deception,,Cha,Cheat,Y,,S&V19,,,
Deception,,Cha,Group Feint,Y,,S&V19,,,Full Round
Deception,,Cha,Innuendo,Y,,S&V19,,,
Endurance,Yes,Con,Force March,,10+,"pg66, 8 hrs",,,8 hrs
Endurance,Yes,Con,Hold Breath,,10+,"Con, pg66, rnds",,,Full Round
Endurance,Yes,Con,Ignore Hunger,,10+,"Con, pg66, days",,,Day
Endurance,Yes,Con,Ignore Thrist,,10+,"Con, pg66, hrs*3",,,Hrs*3
Endurance,Yes,Con,Run,,10+,"Con, pg66",,,
Endurance,Yes,Con,Sleep In Armour,,,pg66,,,
Endurance,Yes,Con,Swim/Tread Water,,15+,pg66,,,
Gather Information,,Cha,Learn News And Rumours,,10,,10,*,1d6 hrs
Gather Information,,Cha,Verifify News And Rumours,,20,50 creds,10,*,1d6 hrs
Gather Information,,Cha,Learn Secret Infromation,,25,"5000 creds, GM",10,*,1d6 hrs
Gather Information,,Cha,Locate Individual,,15,easy to find,10,*,1d6 hrs
Gather Information,,Cha,Locate Individual,,25,500 creds,10,*,1d6 hrs
Gather Information,,Cha,Analysis,Y,15+,TFU30,,,
Gather Information,,Cha,Find a Good Score,Y,,S&V19,,,1 hr
Gather Information,,Cha,Identify,,20,S&V19,10,*,1d6 hrs
