BOOK,PAGE,WEB,NPC or PC?,SPECIES,Str,Dex,Con,Int,Wis,Cha,Size,Spd,Vis,Ref,Fort,Will,CONDITIONAL FEAT,SKILLS,TRAITS,SPECIES,PERSONALITY,JEDI, NOBLE, SCOUNDREL,SCOUT, SOLDIER,Basic?,Language 1,Language 2,Language 3,Height,Weight,Child, Young Adult,Adult, Middle Age,Old, Venerable, C/UC Mini?, Unique mini?,  C/UC w/lightsaber,  Unique w/lightsaber,"Refers to SWM & minis w/lightsabers also counted in previous column's tally, counts multiple sculpts as singles                                                                           *numerous examples"
L,199,w,N,Advozse,,-2,2,,2,,M,6,L,1,,,,"reroll Perception, mtr",,Advozse,"survivors, pessimist, distrustful",,,,,,Y,Advb,Basic,,,,,,,,,,,,,,
F,12,w,P,Aleena,,2,,,,-2,S,4/8,,,,,,"reroll Acrobatics, mtr","swif +2 Dex skills & spd 8, rnds = Con mod, -1 CT ",Aleena,"curious, value family, adventurous, courageous",3,4,p,4,,Y,Aleena,Basic,,0.8,50,12,18,45,60,79,80+,,1,,1,
W,337,w,N,Amanin,2,,,-2,,-2,M,6/12,,,1,,,take 10 on Climb,"reach 2sq, primitive, roll (-5 Perception & double spd)",Amanin,capable hunters,,,,4,3,N,Amanese,,,,,,,,,,,1,,,,
UR,10,w,P,Anzati,,,,,,,M,6,L,,,,,Stealth & Survival are class skills,"Survival to track + = target's FP, stan v. Will Def w/in 6sq for target to lose stan next turn (atk mod  = cl+Cha mod) - if fail target immune 24 hrs, swif to drain grabbed target - target -1 track & Anzati hp = 5+1/2 level",Anzati,"cunning shadowy predators, hunt for soup",2*,,4,4,2,Y,Basic,Anzat,,1.7,60,12,99,649,799,950,951+,4,1,,,
CR,284,w,N,Aqualish,,,2,,-2,-2,M,6,,,,,Toughness,"reroll Swim mtr, can take 10",breathe underwater,Aqualish,"admire strength, pushy, belligerent, hostile towards the weak",,,,,,Y,Aqualish,Basic,,,,,,,,,,1,,,,
W,156,w,N,Arcona,,,,,-2,2,M,6,,,2,,,,Scent,Arcona,"hive-mind mentality, reduced sense of individuality",,,,,,Y,Arconese,Basic,,,,,,,,,,,,,,
K,10,w,P,Arkanian,,,,2,,-2,M,6,D,,,,,,"use Int not Cha for Persuasion, 1/encounter +5 Knowledge, Mechanics, or Use Computer",Arkanian,"academic, scientific, arrogant",2,4,4,4,,Y,Arkanian,Basic,,1.8,75,12,18,44,76,99,100+,,1,,,
K,11,w,P,Arkanian Offshoot,2*,2*,-2,,,,M,6,,,,,"one SF Endurance, Mechanics, Pilot, Survival or Treat Injury",,"1/encounter reroll failed skill check with a trained skill, mtr",Arkanian Offshoot,confident,0,3,4,3,3,Y,Arkanian,Basic,,1.8,75,8,13,30,45,55,56+,,,,,
SV,154,w,N,Balosar,,2,-2,,-2,2,M,6,,,,,,,"reroll Perception of sound, +5 Fort Def v. poison, +2 Will Def v. Deception & Persuasion",Balosar,"criminals, shady",,,,,,Y,Balosar,Basic,,,,,,,,,,,,,,
GW,11,w,P,Barabel,2,-2,,,-2,,M,6,D,2,,,,,"claw/bite/tail d6, +5 Fort Def v. radiation, primitive, reroll Persuasion to intimidate, +5 thresh v. stun",Barabel,"independent, aggressive",,,,4,4,N,Barabel,,,2,110,8,15,40,59,79,80+,,,,,
SV,154,w,N,Barabel,2,-2,,,-2,,M,6,D,2,,,,,"claw/bite/tail d6, +2 Fort Def v. radiation, primitive, reroll Persuasion to intimidate",Barabel,"independent, aggressive",,,,,,N,Barabel,,,,,,,,,,,3,,1,,
GI,10,w,P,Bith,,,-2,2,,2,M,6,,,,,,,"Meditative Trance - rest 4 hours = 8 hours, Scent, if spend FP gain a FP to use on Int skill by end of enc",Bith,"calm, rational, intellectual, pacifist, artistic",2,4,,,,Y,Bith,Basic,,1.7,75,11,15,50,70,84,85+,3,,1,,
T,26,w,N,Bith,,,-2,2,,,M,6,,,,,,"reroll Perception, mtr","1/encounter any Int-based skill check as nat 20, can rest 8 hours in 4",Bith,"calm, rational, intellectual, pacifist, artistic",,,,,,N,Bith,,,,,,,,,,,1,,,,
SV,6,w,P,Blood Carver,,2,,,-2,-2,M,6,,,,,SF Acrobatics,,melee atk v. opp denied Dex to Ref Def = +1 die damage,Blood Carver,"loyal, exiled, lawless",2*,,4,4,2,Y,Batorese,Basic,,2,65/60,12,20,60,80,100,100+,3,,,,
CR,23,w,P,Bothan,,2,-2,,,,M,6,,,,2,SF Gather Info,,,Bothan,"curious, manipulative, crafty, suspicious, paranoid, but brave & loyal",,4,p,3,4,Y,Basic,Bothese,,1.6,55,11,16,45,65,84,85+,1,,,,
F,13,w,P,Caamasi,-2,,-2,,4,,M,6,,,,,,"reroll Persuasion, best","stan Persuasion v. Will to move -1 CT, share memories",Caamasi,"deeply respectful, moral, gentle, contemplative, pacifist",1,4,,,0,Y,Basic,Caamasi,,1.8,80,11,15,49,76,89,90+,,1,,1,
K,12,w,P,Cathar,,2,,-2,,,M,8,,,,,,Climb & Stealth as class skills,"claw d6, 1/encounter when damages w/melee atk, make claw atk as swif",Cathar,"passionate, loyal, proud",4,4,1,4,4,Y,Basic,Catharese,,1.7,85,10,15,40,62,79,80+,,,,,
J,106,w,N,Celegian,,-2,,2,,,M,6/10,,,,,,"reroll Swim mtr, can take 10","cyanogen breather, can use Telepathy untrained w/out force-sensitivity w/in 60 sq & LOS",Celegian,"explorers, some isolationist",,,,,,Y,Basic (Understand),,,,,,,,,,,,1,,1,
CR,24,w,P,Cerean,,-2,,2,2,,M,6,,,,,SF Initiative,"reroll Initiative, mtr",,Cerean,"calm, rational, logical, peaceful",3,,,,,Y,Basic,Cerean,,2/1.8,78/58,10,15,35,53,64,65+,1,,,,
UR,11,w,P,Chadra-Fan,,2,,,-2,,S,4,D,,,,,"reroll Perception, mtr",with a jury-rig add +1d8 hp,Chadra-Fan,"cheerful, friendly, outgoing, inquisitive, tinkerers",1,,4,4,,Y,Chadra-Fan,Basic,,1,20,11,15,40,59,79,80+,1,1,,,
