BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
C,39,Accurate Blow,"Choose one exotic melee weapon or one of the following weapon groups in which you are proficient: advanced melee weapons, lightsabers, or simple weapons. When you make a melee attack with a weapon from the chosen group and the attack roll exceeds the target's Reflex Defense by 5 or more, you deal +1 die of damage with the attack.",1,,,,,"if exceed Ref Def by 5 or more deal +1 die dam, per melee group",Elite Trooper,Melee Specialist,Elite Trooper
CR,40,Acrobatic Recovery,"If an effect causes you to fall prone, you can make a DC 20 Acrobatics check to remain on your feet. [[Weak talent option: Add ""additionally, whenever an effect causes you to be moved a number of squares, you may roll a DC 15 Acrobatics check to reduce the movement by one square. For every five points you beat this DC by, you may reduce the movement by another square.]]",1,,,,,DC 20 Acrobatics to not fall prone,Jedi,Jedi Guardian,Jedi
K,57,Action Exchange,"Whenever you successfully use Force Delay, you grant one ally within six squares and line of sight the ability to trade a move action for another standard action on his next turn. ",2,Force Delay,,,,"when you use Force Delay, grant 1 ally in 6sq & LOS to trade a move action for a stan action",Force-Using Traditions,Jal Shey,"Force Disciple, Jedi Master, Sith Lord"
CR,49,Acute Senses,"You may choose to reroll any Perception check, but the result of the reroll must be accepted even if it is worse. (SotG) This talent applies to Use Computer checks made to perceive enemy ships (see Starship Skills, SotG page 18).",1,,,,y,reroll Perception,Scout,Awareness,"Bounty Hunter, Gladiator, Gunslinger, Martial Arts Master, Pathfinder, Scout, Vanguard"
L,30,Adapt and Survive,"When an enemy within 24 squares of you and in your line of sight receives a morale or insight bonus of any kind, you also gain the benefits of that bonus until the end of your next turn.",1,,,,,"when an enemy in 24sq & LOS gains morale or insight bonus, you gain it too until your next turn",Scout,Versatility,Scout
F,102,Adept Assistant,"When you successfully aid another character on a Mechanics, Pilot, or Use Computer check, you add +5 to the check result (rather than the normal +2).",1,,,,,"with aid another on a Mechanics, Pilot or Use Computer add +5 not +2",Droid,Second-Degree Droid,Droid
CR,39,Adept Negotiator,"As a standard action, you can weaken the resolve of one enemy with your words. The target must have an Intelligence of 3 or higher, and it must be able to see, hear, and understand you. Make a Persuasion check; if the result equals or exceeds the target's Will Defense, it moves -1 step along the condition track (see Conditions, page 148). The target gets a +5 bonus to its Will Defense if it is higher level than you. If the target reaches the end of the track, it does not fall unconscious; instead, it cannot attack you or your allies for the remainder of the encounter unless you or one of your allies attacks it or one of its allies first. This is a mind-affecting effect. [Despite the restriction of the Persuasion skill (cannot retry on same target if fail for 24h), there is no limit to the number of times you can use this on a single target.] (SotG) You affect the condition track of a specific character (usually the vehicle's commander), not a starship. [[Under the Perception skill, there is a section on Sense Influence. It’s a DC 20 Perception check to notice if someone is being affected by a mind-affecting force power or other method of coercion. Therefore, I would allow a perceptive NPC to make a Perception check to notice if he (or his friend) is being manipulated. A success would alert the NPC that something is not right. He may even start suspecting the jedi PC.]]",1,,stan,,,"Persuasion check v. Will Def (+5 bonus if opp higher level), moves -1 CT, if at end, cannot attack unless attacked or allies attacked",Jedi,Jedi Consular,Jedi
CR,107,Adept Spellcaster,"You may use any Force power that normally requires a swift action, move action, or standard action as a full-round action instead. If you choose to do so, you may reroll your Use the Force check to activate that power, but you must accept the result of the reroll, even if it is worse.",1,,free,,y,reroll any force power as a full-round action,Force-Using Traditions,Dathomiri Witch,"Force Disciple, Jedi Master, Sith Lord"
L,47,Adrenaline Implant,"Once per encounter as a standard action, you can give one adjacent living creature an adrenaline implant. The target must be willing to receive this implant, which grants the target 10 bonus hit points at the start of each of its turns. These bonus hit points do not accumulate. Damage is subtracted from the bonus hit points first, and any bonus hit points remaining at the end of the encounter go away. Bonus hit points from different sources do not stack.",1,,stan,,,1/encounter adjacent ally gains 10 hp at start of each of its turns (do not accumulate) (at end of encounter target moves -3 CT & needs rest or surgery),Shaper,Implant,Shaper
C,25,Advanced Intel,"If you are not surprised at the beginning of combat, you can use the Spotter talent as a free action on your first turn, including during the surprise round. ",2,Spotter,free,,,if not surprised can use Spotter even in surprise round,Scout,Surveillance,Scout
