BOOK,PAGE,UNLEASHED ABILITY,Desc.,Force?,BENEFIT
F,89,Unleashed Battle Meditation,"Your skill in Battle Meditation allows you to coordinate battles taking place across an entire star system.

Prerequisites: Battle Meditation, Unleashed feat.

Benefit: When you use the Battle Meditation talent, you can spend a Destiny Point to have its bonuses apply to all allies within the same star system.
",Y,bonuses apply to all allies within the same star system
F,90,Unleashed Battle Strike,"Your combat prowess is unparalleled.

Prerequisites: Battlestrike, Unleashed feat.

Benefit: When you use the battlestrike power and you spend a Destiny Point, your next melee attack, if successful, also moves the target an additional -2 steps along the condition track, regardless of whether the damage exceeds the target's damage threshold.
",Y,your next melee Atk moves target additional -2 CT whether over thresh or not
F,90,Unleashed Corruption,"You can draw upon the power of the dark side to cover your foes in an unavoidable miasma of evil.

Prerequisites: Corruption, Unleashed feat.

Benefit: When you successfully damage a target by using the corruption power and you spend a Destiny Point, the target takes the additional half damage each round for 5 rounds instead of just 1 round.
",Y,"when successfully damage target with Corruption, takes half damage next 5 rounds"
F,90,Unleashed Dark Rage,"You let the power of the dark side flow through you, bringing you closer to ultimate success.

Prerequisites: Dark rage, Unleashed feat.

Benefit: When you use the dark rage power, you can spend a Destiny Point to gain a +10 rage bonus on melee attack rolls and damage rolls for the remainder of the encounter.
",Y,+10 melee attack & damage rolls rest of encounter
F,91,Unleashed Force Blast,"You can fire a blast of Force energy at your opponents with enough power to damage even vehicles and starships.

Prerequisites: Force blast, Unleashed feat.

Benefit: When you use the Force blast power, you can spend a Destiny Point to multiply the damage by 2.
",Y,multiply damage by 2
F,91,Unleashed Force Grip,"Holding an enemy in your vise grip of the Force is a trivial matter.

Prerequisites: Force grip, Unleashed feat.

Benefit: When you successfully use the Force grip power on a target, you can spend a Destiny Point to maintain the power with no concentration (requiring no action) for a number of rounds equal to half your Charisma modifier (minimum 1 round). Taking damage still requires you to make Use the Force checks to maintain the power.
",Y,maintain with no concentration for a number of rounds = Cha mod
F,91,Unleashed Force Lightning,"The power of your Force lightning drives back your foes as they bear the brunt of your strength in the Force.

Prerequisites: Force lightning Force power, Unleashed feat.

Benefit: When you use the Force lightning power, you can spend a Destiny Point to target all creatures in a 6-square cone that originates from your square.
",Y,target all in 6sq cone
F,91,Unleashed Force Storm,"You become a maelstrom of dark Force energy, devastating nearby foes.

Prerequisites: Force storm Force power, Unleashed feat.

Benefit: When you use the Force storm power and you spend a Destiny Point, it deals 8d6 points of damage to adjacent targets for the duration of the power.
",Y,8d6 dam to adjacent for duration of power
F,91,Unleashed Force Thrust,"You can hurl your foes away with incredible strength and speed.

Prerequisites: Force thrust Force power, Unleashed feat.

Benefit: When you use the Force thrust power and you spend a Destiny Point, opponents affected by the power do not add their size modifier to their Strength checks to resist the power's effect. A creature that would normally have a penalty on its Strength check due to size still retains that penalty.

Additionally, the distance you move the target is multiplied by 2, II you push the target into a larger object, the target takes 1d6 points of damage per square moved by this power.
",Y,"opponents do not add size modifier, distance moved multiplied by2, damage 1d6 per square moved"
F,91,Unleashed Move Object,"You can hurl an object through the air with such incredible force that it devastates even vehicles and starships.

Prerequisites: Move object Force power, Unleashed feat.

Benefit: When you hurl one object or character into another object or character and you spend a Destiny Point, multiply the damage dealt by 2.
",Y,if you hurl an object into another object multiply damage by 2
