BOOK,PAGE,SKILL,ACTION, Trained Only?,REQUIREMENTS
CR,62,Acrobatics,Balance,,
SV,19,Acrobatics,Catch Item ,x,
CR,63,Acrobatics,Cross Difficult Terrain,x,
SV,19,Acrobatics,Escape Artist ,x,
CR,63,Acrobatics,Escape Bonds,,
CR,63,Acrobatics,Fall Prone,x,
K,30,Acrobatics,Long Falls ,,
F,29,Acrobatics,Low and High Gravity Environments ,x,
SV,19,Acrobatics,Nimble Charge ,x,
CR,63,Acrobatics,Reduce Falling Damage,x,
CR,63,Acrobatics,Stand up from Prone,x,
CR,63,Acrobatics,Tumble,x,
F,29,Acrobatics,Zero-Gravity Environments ,x,
CR,64,Climb,Accelerated Climbing,,
CR,64,Climb,Catch Yourself When Falling,,
CR,64,Climb,Climb Surface,,
K,30,Climb,Climbing in Low or High Gravity ,,
F,29,Climb,Extreme Conditions ,,
CR,64,Climb,Making Handholds & Footholds,,
SV,19,Deception,Alternate Story ,x,
SV,19,Deception,Cheat ,x,
CR,29,Deception,Creating a Diversion to Hide,,
F,29,Deception,Creating a Diversion to Hide an Item ,,
CR,64,Deception,Deceive,,
F,29,Deception,Feign Haywire ,,Droids only
CR,68,Deception,Feint,,
SV,19,Deception,Group Feint ,x,
SV,19,Deception,Innuendo ,x,
CR,66,Endurance,Forced March,,
CR,66,Endurance,Hold Breath,,
CR,66,Endurance,Ignore Hunger,,
CR,66,Endurance,Ignore Thirst,,
CR,66,Endurance,Run,,
CR,66,Endurance,Sleep in Armor,,
CR,74,Endurance,Swim,,
F,30,Gather Information,Analysis ,x,
SV,19,Gather Information,Find a Good Score ,x,
SV,20,Gather Information,Identify ,,
CR,67,Gather Information,Learn News & Rumors,,
CR,67,Gather Information,Learn Secret Information,,
CR,67,Gather Information,Locate Individual,,
SV,20,Gather Information,Quick Intel ,x,
CR,68,Initiative,Avoid Feint,,
CR,68,Initiative,Start Battle,,
CR,68,Jump,High Jump,,
CR,68,Jump,Jump Down,,
CR,68,Jump,Long Jump,,
CR,68,Knowledge (Bureaucracy),Common Knowledge,,
CR,68,Knowledge (Bureaucracy),Expert Knowledge,X,
CR,68,Knowledge (Galactic Lore),Common Knowledge,,
CR,68,Knowledge (Galactic Lore),Expert Knowledge,X,
CR,68,Knowledge (Life Sciences),Common Knowledge,,
CR,68,Knowledge (Life Sciences),Expert Knowledge,X,
CR,68,Knowledge (Physical Sciences),Common Knowledge,,
CR,68,Knowledge (Physical Sciences),Expert Knowledge,X,
CR,68,Knowledge (Social Sciences),Common Knowledge,,
CR,68,Knowledge (Social Sciences),Expert Knowledge,X,
CR,68,Knowledge (Tactics),Common Knowledge,,
CR,68,Knowledge (Tactics),Expert Knowledge,X,
C,27,Knowledge (Tactics),Anticipate Enemy Strategy,X,
C,27,Knowledge (Tactics),Battlefield Tactics,X,
CR,68,Knowledge (Technology),Common Knowledge,,
CR,68,Knowledge (Technology),Expert Knowledge,X,
L,31,Mechanics,Biotech Adaptation ,x,tool kit
