BOOK,PAGE,WEB,ITEM,Desc.,ACP,Cost,"Ref bonus","Fort bonus","Max Dex","Spd 6sq","Spd 4sq",Weight,Avail., U. Slots,Helmet P.,COMMENTS,Skill,Skillbonus,Ability,Abilitybonus,Used By
CR,282,w,ARC Trooper armor,,-2,8000,6,2,3,,,10,"Military, Rare",,x,,,,,,Advanced Recon Commandos (Clone Trooper)
CR,132,w,Armored spacesuit,"Armored Spacesuit
Heavy Armor

This bulky coverall contains a sealed life support system that provides everything the wearer needs to survive for 24 hours in the vacuum of space or any other hostile environment.
",-10,12000,9,3,1,4/x3,3/x3,35,Restricted,,,survive 24 hours,,,,,
D7,25,w,AT-AT pilot suit,,-2,,5,2,3,,,,"Military, Rare",,,10 hours life support likely,,,,,Radtrooper
GW,44,w,Barabel microbe armor,"Barabel Microbe Armor (GaW)
Light Armor

Created by Creshaldyne Industries, this armor is a sleeveless vest of soft material. Pouches within the armor hold a saline solution containing specialized microorganisms, which absorb intense heat or radiation.

Barabel microbe armor provides DR 2 against energy and fire damage. If you are using the Armor Upgrades option from Scum and Villainy, Barabel microbe armor has room for two upgrades.
",-2,4000,2,0,3,,,6,Licensed,2,,DR 2 v. energy & fire dam,,,,,
CR,132,w,Battle armor,"Battle Armor
Medium Armor

Battle armor combines protective metal or composite plates with a padded jumpsuit to form a layer of protection. While off-the-rack battle armor is available, most users cobble together their gear from various sources.
",-5,7000,8,2,2,4,3,16,Military,,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
CR,132,w,"Battle armor, heavy","Battle Armor, Heavy
Heavy Armor

Similar to regular battle armor, heavy battle armor features more plating than padding, including various pieces molded to fit the user, such as breastplates and armor covering the arms and legs.
",-10,15000,10,4,1,4/x3,3/x3,30,Military,,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,71,w,"Battle armor, heavy powered","Battle Armor, Heavy Powered (KotORCG)
Heavy Armor

Utilized by warriors who define their fighting style by the gear they carry, heavy powered battle armor resembles standard heavy battle armor but comes prewired for augmentation. Heavy powered battle armor comes with a helmet package preinstalled. If you are using the equipment modification rules from Scum and Villainy, heavy powered battle armor has 2 free upgrade slots (as does all powered armor).
",-10,19000,9,4,1,4/x3,3/x3,32,Military,2,x,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,70,w,"Battle armor, light","Battle Armor, Light (KotORCG)
Light Armor

Similar to denser suits of battle armor, this stripped-down battle armor is frequently used by soldiers who lack extensive armor training but need a slight edge in combat.
",-2,3500,5,2,3,,,10,Military,,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,70,w,"Battle armor, light powered","Battle Armor, Light Powered (KotORCG)
Light Armor

Designed to be augmented with additional components and weapons, light powered body armor comes prewired with special connections to power auxiliary accessories. Light powered battle armor comes with a helmet package preinstalled. If you are using the equipment modification rules from Scum and Villainy, light powered armor has 2 free upgrade slots (as does all powered armor).
",-2,6500,4,2,3,,,12,Military,2,,,,,,,"heavy militias, soldiers, enforcers, guards, mercenaries, commandos"
K,71,w,"Battle armor, powered","Battle armor, Powered (KotORCG)
Medium Armor

The powered armor variant of standard battle armor, powered battle armor is frequently used by those warriors who see their armor as an extension of their combat prowess and not just their defenses. Powered battle armor comes with a helmet package preinstalled. If you are using the equipment modification rules from Scum and Villainy, powered battle armor has 2 free upgrade slots (as does all powered armor).
",-5,11000,7,2,2,4,3,17,Military,2,x,,,,,,warriors
SV,48,w,"Beskar'gam, heavy","Beskar'gam (SaV)
Light, Medium, or Heavy Armor

The beskar'gam is the traditional suit of Mandalorian Armor. Unlike the armor of the Neo-Crusaders (see page 201 of the Knights of the Old Republic Cam­paign Guide), most suits of beskar'gam are individually tailored to the wearer. They usually have various customizations, ranging from simple coloration changes to significant structural alterations. The beskar'gam is extremely rare outside of Mandalorian culture and costs 30,000 more than a traditional suit of Mandalorian armor. True beskar'gam is made of Mandalorian iron (beskar), which is strong enough to deflect blaster fire and even lightsabers, and when worn by a true Mandalorian warrior it can greatly reduce the amount of damage taken even from direct hits. Not all suits of Mandalorian armor are beskar'gam (for example, the armor worn by Neo-Crusaders during the Mandalorian Wars was not made of beskar), but a wearer of the beskar'gam is a fearsome sight indeed. A suit of beskar'gam grants favorable circum­stances on Persuasion checks to intimidate, and if the wearer has DR then the wearer can apply its benefit against attacks made by lightsabers. Though not powered armor, the armor has two free upgrade slots.

Gamemasters can reduce the cost of beskar'gam by 30,000 credits for Mandalorian heroes.
",-10,45000,10,4,1,4/x3,3/x3,32,"Restricted, Rare",2,,"favorable circumstances to intimidate, DR v. lightsabers",,,,,Mandalorians
