BOOK,PAGE,WEB,ITEM,Desc.,COMMENTS,TYPE,Cost,Weight,Uses, Use Cost
SV,52,w,ABC Scrambler,"ABC Scrambler (SaV)

This device is used to ward off missile attacks. Commonly used by bounty hunters against other bounty hunters, the ABC scrambler is worn on the belt or attached to a suit of armor and emits false audio, biological, and chemi­cal signals to confuse missile guidance systems. A character with an ABC scrambler gains a +5 deflection bonus to Reflex Defense against grenade launchers and missile launchers.
",Ref Def +5 v. grenades and missiles,Detection and Surveillance Devices,3000,3,,
CR,138,w,All-temperature cloak,"All-Temperature Cloak

This wrap-around cloak protects its wearer from the elements, providing a +5 equipment bonus to its wearer's Fortitude Defense against extreme heat or cold (see Extreme Temperatures, page 254).
",Fort Def +5 against extreme heat or cold,Survival Gear,100,1.5,,
R,51,w,Ambient aural amplifier,"Ambient Aural Amplifier (RECG)

Although aural amplifiers have existed for centuries, vast improvements to the technology are made during the Rebellion era, driven by the need to sur­reptitiously listen in on contacts who could be Imperial spies, Rebel recruiters, or bounty hunters looking to make a few quick credits. Previous models of aural amplifiers were bulky and obvious, and they garbled messages almost as often as they worked. They also required power cells, limiting the degree to which they could be concealed.

Employing the same technology used for protocol droids, the new ambi­ent aural amplifiers can pick out sounds, analyze them, and amplify only the sounds that are likely to be useful. These devices draw power from the body heat of any warm-blooded creature that wears them, giving the amplifiers an effectively unlimited operation time. (Cold-blooded species can power the devices by placing them on a warm surface or piece of gear.) The result is a +5 equipment bonus to Perception checks to eavesdrop or to hear distant or ambient noises.
",+5 to Perception to eavesdrop or hear distant or ambient noises.,Detection and Surveillance Devices,3000,0.5,,
UR,40,w,Antidote synthesizer,"Antidote Synthesizer (UR)

An antidote synthesizer is a small, portable device that takes the portability of a microlab one step farther. If an antidote to a poison or a toxin is needed and proper medical attention is not immediately available, an antidote syn­thesizer can be used to help the victim survive. The synthesizer can analyze a small amount of poison or toxin inserted into the machine's sample tube, and within 1d6 rounds it can create 1d4 doses of antivenom or antitoxin that each grant a +2 bonus to a Treat Injury check made to treat the poison or toxin. To reproduce an antidote after the doses are expended, however, requires a new sample of the poison or toxin.
",1d6 rounds to create 1d4 doses antidote w/+2 Treat Injury,Medical Gear,2500,0.8,,
CR,28,w,Antiox breath mask,,Kel Dor starts with for 0 cost (500 credits & filters 50 on Dorin),Life Support,2000,,year,
GW,45,X,Anti-rad dose,"Anti-Rad Dose (GaW)

Exposure to radiation is a fear of ship personnel and soldiers alike. An anti- rad dose comes in a tough hypodermic syringe. The anti-rad dose grants a +10 equipment bonus to the target's Fortitude Defense against radiation and grants a +5 equipment bonus to Treat Injury checks to cure damage caused by radiation.
","+10 Fort Def v. radiation, +5 Treat Injury to cure radiation damage",Medical Gear,50,,,
T,19,w,Antisecurity Blades (Jango Fett's),"Antisecurity Blades

These electronic devices allow Jango Fett to bypass force fields and jam security devices with bursts of high-frequency harmonic interference waves. They function as a security kit and grant a +2 equipment bonus to Mechanics checks made to disable devices.
",function as a security kit  and +2 to Mechanics check when disabling devices,Tools,,,,200
GI,66,w,Antitoxin Patch,"Antitoxin Patch (GoI)

This adhesive patch is applied near the stomach (or similar organ, depending on the species). It emits a low dose of antitoxin, giving the wearer a +10 equipment bonus to Fortitude Defense against ingested poisons and a +5 equipment bonus to Fortitude Defense against inhaled poisons. An antitoxin patch lasts for 24 hours. For each consecutive day that an antitoxin patch is worn, the target moves -1 step on the condition track.
","+10 Fort Def v ingested poison, +5 Fort Def v inhaled poison, -1 CT per day worn",Medical Gear,25,,day,
CR,136,w,Aquata breather,"Aquata Breather

While underwater, an Aquata Breather can provide up to 2 hours of breathable air through its mouthpiece. Qui-Gon Jinn and Obi-Wan Kenobi used Aquata Breathers while swimming to Otoh Gunga in Episode I: The Phantom Menace, and Obi-Wan Kenobi used his again when evading clone troopers on Utapau in Episode III: Revenge of the Sith.
",2 hours breathable air while underwater,Life Support,350,0.2,,
K,73,w,Aural amplifier,"Aural Amplifier (KotORCG)

The aural amplifier is a device worn on the head, allowing the wearer to hear from a great distance. By amplifying sound waves originating from the direction of the wearer's interest while dampening ambient noise, the aural amplifier grants the wearer a +5 equipment bonus on Perception checks to eavesdrop. An aural amplifier cannot be worn at the same time as armor with a helmet or any other device worn on the head.
",Perception +5 to eavesdrop,Detection and Surveillance Devices,2000,0.5,,
