BOOK,PAGE,HAZARD,Type,Location,CL,Trigger,Attack,Defense,Damage (type; failure),Recurrence,Special,Skill 1,Skill 2,Skill 3
CR,252,Acid,Acid; Contact,,2,,+5,Fort,2d6 (acid; 1/2),Each rnd,Occurs when target comes into contact; atk occurs each round until acid is washed off or treated (DC15 Treat Injury & medical kit),,,
UR,101,Acid,Acid; Contact; Natural,,2,"Creature, droid, or object comes into contact w/ acid",+4,Fort,2d10 (acid; 1/2 dmg),"Each rnd at start of target's turn, until acid is washed off or treated",,Treat Injury (DC14; req medical kit): Char treats the acid.,,
D1,12,Acid Pool,Acid; Contact,,1,,+2,Fort,1d6 (acid),Each rnd,"Can detect/avoid w/ DC10 Perception check; if check fails, step in pool and do dmg (no atk roll); atks each rnd after first exposure; stops atking when fails atk or is washed off",,,
UR,110,Animal Trap,Artificial; Contact,Forest/Jungle,3,Creature enters sq occupied by trap,+5,Ref,"2d4+1 and target moves  -1 persistent step on CT (; 1/2 dmg, no CT movement)",On trigger,Creature that gains persistent condition from this hazard can't move up the CT until it spends at least 1 hour resting in a normal environment.,"Perception (DC14): Char detects trap before they reach it, gaining +2 circumstance bonus to Ref Def to avoid hazard.",Mechanics (DC24): Char successfully disarms the trap.,"Survival (DC19): Char determines which type of creature trap is designed to capture.  For the next hour, char gains +1 bonus to attempts to spot that creature."
UR,114,Asteroid Field,Atmospheric; Natural,Space,10,Vehicle begins its turn in an asteroid field,+12,Ref,4d6x2,"Each rnd at start of vehicle's turn, as long as vehicle is w/in area occupied by asteroid field",,Perception (DC19): Char notices asteroids heading toward vehicle.,"Pilot (DC28): Char tries to avoid hitting any asteroids for 1 rnd, gaining +5 circumstance bonus to vehicle's Ref Def to avoid incoming rocks.",
R,108,Atgar 1.4 FD P-Tower Light Antivehicle Laser Cannon,Traps/Security Systems/Emplacements; Artificial; Energy,,5,,+3,Ref,3d10x2 (energy),,,,,
UR,101,"Atmosphere, Corrosive",Acid; Atmospheric; Contact; Natural,,4,"Creature, droid, or object begins its turn in a corrosive atmosphere",+4,Fort,2d6 (acid; 1/2 dmg),On trigger,"Creatures, droids, or objects that have special protection against corrosive atmosphere, such as environmentally sealed space suits, are not affected by this hazard.",Know(physical sciences) (DC16): Char identifies presence of corrosive atmosphere.,,
UR,101,"Atmosphere, Toxic",Atmospheric; Contact; Natural,,6,Creature begins its turn in toxic atmosphere,+5,Fort,1d6 and target moves -1 persistent step on CT (; 1/2 dmg and no CT movement),On trigger,"Creatures, droids, or objects that have special protection against toxic atmosphere, such as environmentally sealed space suits, are not affected by this hazard.",Know(physical sciences) (DC17): Char identifies presence of toxic atmosphere.,,
UR,102,"Atmosphere, Vacuum",Atmospheric; Contact; Natural,,8,Creature begins its turn in vacuum,+20; auto hit against unconscious targets,Fort,1d6 and target moves -2 steps on CT (; no dmg and target moves -1 step on CT),On trigger,Creature can't move back up CT until it's returned to breathable atmosphere.,"Endurance (DC10): Char holds breath for 1 rnd, reducing vacuum's atk roll by 10. Each rnd char holds breath, check DC increases by 2.",,
GW,98,Automated Sentry Gun,Traps/Security Systems/Emplacements; Artificial; Area; Energy,,2,,+3 area,Ref,3d8+2 (energy; 1/2 dmg),,2x2 area; add +1 to hit and +1 dmg if within 50sq,,,
C,103,AV-7 Antivehicle Cannon,Traps/Security Systems/Emplacements; Artificial; Energy,,6,,+6,Ref,5d10x2 (energy),,,,,
