BOOK,PAGE,WEAPON,Desc.,Wpn Type,Size,Cost, Damage,Stun,Weight,Dmg Type,Avail.,Thrown / Reach, Extra cost, Build DC,COMMENTS,Used by
CR,121,"Amphistaff, Quarterstaff form","Amphistaff
Exotic Weapon
An amphistaff is a serpentine creature genetically engineered by the Yuuzhan Vong to serve as a weapon. The amphistaff can become as rigid as stone or as flexible as rope, and it can contract the muscles around its head and tail to form razor-sharp edges.

The amphistaff has three distinct weapon forms: quarterstaff, spear, or whip. Switching from one weapon form to another takes a swift action.

Quarterstaff Form: A rigid amphistaff has all the qualities of a quarterstaff (see below).

Spear Form: A rigid amphistaff can be wielded or thrown as a spear (see below). The spear's head is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track (see Conditions, page 148).

Whip Form: A flexible amphistaff has a reach of 2 squares (see Reach, page 161). The whip's tail deals 1d4 points of piercing damage (plus the wielder's Strength modifier) and is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track. Instead of dealing damage with the whip, the wielder may use it to pin or trip the target (see Grapple, page 153) as though he was using the Pin or Trip feat (see Chapter 5: Feats); the wielder must be proficient with the amphistaff but doesn't need to have the Pin or Trip feat to use this feature of the weapon .

In any of its weapon forms, an amphistaff may be coaxed by its wielder to spit venom up to 10 squares away (a standard action). If this ranged attack hits both the target's Reflex Defense and Fortitude Defense, the target moves -1 persistent step on the condition track. An amphistaff can only spit venom once every 24 standard hours.

",E,L,,1d6/1d6,,2,Bludgeoning,Rare,,,,Yuuzhan Vong treat the amphistaff as a simple weapon instead of an exotic weapon.,Yuuzhan Vong
CR,121,"Amphistaff, Spear form","Amphistaff
Exotic Weapon
An amphistaff is a serpentine creature genetically engineered by the Yuuzhan Vong to serve as a weapon. The amphistaff can become as rigid as stone or as flexible as rope, and it can contract the muscles around its head and tail to form razor-sharp edges.

The amphistaff has three distinct weapon forms: quarterstaff, spear, or whip. Switching from one weapon form to another takes a swift action.

Quarterstaff Form: A rigid amphistaff has all the qualities of a quarterstaff (see below).

Spear Form: A rigid amphistaff can be wielded or thrown as a spear (see below). The spear's head is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track (see Conditions, page 148).

Whip Form: A flexible amphistaff has a reach of 2 squares (see Reach, page 161). The whip's tail deals 1d4 points of piercing damage (plus the wielder's Strength modifier) and is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track. Instead of dealing damage with the whip, the wielder may use it to pin or trip the target (see Grapple, page 153) as though he was using the Pin or Trip feat (see Chapter 5: Feats); the wielder must be proficient with the amphistaff but doesn't need to have the Pin or Trip feat to use this feature of the weapon .

In any of its weapon forms, an amphistaff may be coaxed by its wielder to spit venom up to 10 squares away (a standard action). If this ranged attack hits both the target's Reflex Defense and Fortitude Defense, the target moves -1 persistent step on the condition track. An amphistaff can only spit venom once every 24 standard hours.

",E,L,,1d8,,2,Piercing,,T,,,"can be thrown, if over threshold -1 CT (poison)",Yuuzhan Vong
CR,121,"Amphistaff, Whip form","Amphistaff
Exotic Weapon
An amphistaff is a serpentine creature genetically engineered by the Yuuzhan Vong to serve as a weapon. The amphistaff can become as rigid as stone or as flexible as rope, and it can contract the muscles around its head and tail to form razor-sharp edges.

The amphistaff has three distinct weapon forms: quarterstaff, spear, or whip. Switching from one weapon form to another takes a swift action.

Quarterstaff Form: A rigid amphistaff has all the qualities of a quarterstaff (see below).

Spear Form: A rigid amphistaff can be wielded or thrown as a spear (see below). The spear's head is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track (see Conditions, page 148).

Whip Form: A flexible amphistaff has a reach of 2 squares (see Reach, page 161). The whip's tail deals 1d4 points of piercing damage (plus the wielder's Strength modifier) and is poisonous: If the target takes damage and the attack roll equals or exceeds its Fortitude Defense, the target moves -1 persistent step on the condition track. Instead of dealing damage with the whip, the wielder may use it to pin or trip the target (see Grapple, page 153) as though he was using the Pin or Trip feat (see Chapter 5: Feats); the wielder must be proficient with the amphistaff but doesn't need to have the Pin or Trip feat to use this feature of the weapon .

In any of its weapon forms, an amphistaff may be coaxed by its wielder to spit venom up to 10 squares away (a standard action). If this ranged attack hits both the target's Reflex Defense and Fortitude Defense, the target moves -1 persistent step on the condition track. An amphistaff can only spit venom once every 24 standard hours.

",E,L,,1d4,,2,Piercing,,R,,,"reach 2sq, if over thresh -1 CT (poison), can pin or trip w/out feat",Yuuzhan Vong
L,97,Anakin Solo's Lightsaber,"Anakin Solo's Lightsaber (LECG)
Lightsaber, Heirloom Item
After Anakin Solo dies on the planet Myrkr, his lightsaber finds its way into the hands of Ganner Rhysode and even Anakin's uncle, Luke Skywalker, who wields it in a duel against Supreme Overlord Shimrra . The weapon is returned to Han Solo, who lays his son's lightsaber to rest in Chewbacca's memorial tree on Kashyyyk. 

In the Legacy era, Anakin's lightsaber could fall into the hands of a Jedi Padawan sent on a special mission to Kashyyyk to retrieve the weapon as a rite of passage for reaching knighthood.

Anakin Solo's Lightsaber: Medium lightsaber (2d8 damage) and symbol of the light. Once per encounter, as a reaction, the wielder can impose a penalty on anyone attack roll or skill check made by a character with a Dark Side Score of 1 or higher. This penalty is equal to the target's Dark Side Score. In addition, its wielder ignores restrictions on Sense Force and Sense Surroundings imposed by Yuuzhan Vong.
",L,M,,2d8,,1,Energy and slashing,Rare,,,,Symbol of the light and heirloom lightsaber (see L 97),
K,64,Arg'garok,"Arg'garok (KotORCG)
Exotic Weapon
The arg'garok is a rarely seen weapon created by the Gamorrean species and prized by their greatest warriors. The arg'garok resembles nothing more than a huge axe, balanced so that only the strongest and best-trained warriors can use it effectively. Any character attempting to wield an arg'garok without a Strength of 15+ suffers a -5 penalty on attack rolls with the weapon. Gamorreans treat the arg'garok as an advanced melee weapon instead of an exotic weapon.

",E,L,150,2d12,,2,Slashing,Rare,,,,"need Str 15 or -5 Atk, advanced melee weapon for Gamorreans",Gamorrean warriors
CR,121,Atlatl,"Atlatl
Exotic Weapon
A Gungan weapon, the atlatl adds speed and power as an extension of a throwing arm, allowing the user to hurl energy balls farther than with just an unaided toss. If forced into close combat, the wielder can use the atlatl as a club like melee weapon. Although the atlatl is considered an exotic weapon, Gungans are treated as proficient if they have the Weapon Proficiency (simple weapons) feat.

",E,M,50,2d4,,1.5,Bludgeoning,Rare,,,,Gunguns treat as simple weapon instead of exotic,Gungan
R,48,Axe,"Axe (RECG)
Simple Melee Weapon
Though this weapon is a smaller, unpowered version of the vibro-ax, many fringers find a blade on a haft to be indispensable in the wilds of untamed planets. An axe also has the advantage of being legal nearly everywhere, largely because no one thinks to outlaw such a simple tool. Modern versions made of advanced composite materials are common in many explorers' shops, and various species pressed into service by the Empire bring their own traditional axes with them when they are shipped across the galaxy.

",S,M,35,1d8,,2,Slashing,,T,,,Can be thrown,fringers
W,276,"Axe, small","Axe (RECG)
Simple Melee Weapon
Though this weapon is a smaller, unpowered version of the vibro-ax, many fringers find a blade on a haft to be indispensable in the wilds of untamed planets. An axe also has the advantage of being legal nearly everywhere, largely because no one thinks to outlaw such a simple tool. Modern versions made of advanced composite materials are common in many explorers' shops, and various species pressed into service by the Empire bring their own traditional axes with them when they are shipped across the galaxy.

",S,S,,1d6,,,Slashing,,T,,,Can be thrown,Ewok Scout
CR,121,Bayonet,"Bayonet
Simple Weapon
When mounted on a rifle, a bayonet allows you to use the rifle as a melee weapon much like a spear. When wielding a rifle with a mounted bayonet, you threaten squares within your reach (even if you used the rifle to make a ranged attack on your last turn), and you can use it to make attacks of opportunity. A bayonet requires two hands to use when mounted on a rifle.

A bayonet cannot be used on a rifle with a folded stock. A bayonet detached from a rifle is treated as a knife; a mounted bayonet deals more damage than the knife because of the added leverage and bulk.

",S,M,50,1d8,,1,Piercing,Licensed,,,,,military
UR,36,Blastsword,"Blastsword (UR)
Exotic Weapon
The favored weapon of duelists from the remote world of Adumar, the blastsword is an odd combination of a standard vibroblade and the inner workings more commonly found in blaster weapons. At the tip of the blade sits a small metal nozzle, which emits a slight glow and an audible hum when activated. When the user successfully stabs a target, the blaster energy discharges.

A blastsword is well balanced, and its wielder can consider it to be a light weapon for the purpose of using the Weapon Finesse feat. A blastsword requires a power pack to operate.

",E,M,600,3d6,,2.1,Energy,Rare,,,,considered light weapon,duelists
